number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
97,151.2316436767578,2026-01-03 01:50:03.898608,2026-01-03 01:50:30.298287,0 days 00:00:26.399679,relu,0.153240069369524,25,0.07459073665295449,2,True,standard,0.0005974936961771384,COMPLETE
98,196.2760009765625,2026-01-03 01:50:30.306287,2026-01-03 01:50:57.179488,0 days 00:00:26.873201,mish,0.13998465415255396,19,0.05937752763745058,2,True,minmax,0.0005241253512476419,COMPLETE
99,146.8567352294922,2026-01-03 01:50:57.188488,2026-01-03 01:51:23.563195,0 days 00:00:26.374707,relu,0.120093640149007,23,0.05229815491945466,2,True,standard,0.0008041175516474923,COMPLETE
100,149.46841430664062,2026-01-03 01:51:23.571196,2026-01-03 01:51:49.842864,0 days 00:00:26.271668,relu,0.10109940596211646,24,0.08351009674334758,2,True,standard,0.000826847333968577,COMPLETE
101,160.2061309814453,2026-01-03 01:51:49.851867,2026-01-03 01:52:16.189550,0 days 00:00:26.337683,relu,0.12051350457471963,23,0.0542068722951789,2,True,standard,0.000651636114190317,COMPLETE
102,164.47898864746094,2026-01-03 01:52:16.198552,2026-01-03 01:52:42.212748,0 days 00:00:26.014196,relu,0.14128912458470588,13,0.06625020844191748,2,True,standard,0.00040499477741071137,COMPLETE
103,144.74969482421875,2026-01-03 01:52:42.220747,2026-01-03 01:53:08.731950,0 days 00:00:26.511203,relu,0.12468593124448848,27,0.0995727573769789,2,True,standard,0.0008264636739260208,COMPLETE
104,144.20169067382812,2026-01-03 01:53:08.739947,2026-01-03 01:53:35.192151,0 days 00:00:26.452204,relu,0.12462266503077746,26,0.09647530988867571,2,True,standard,0.000791705993317659,COMPLETE
105,148.41380310058594,2026-01-03 01:53:35.202153,2026-01-03 01:54:01.825345,0 days 00:00:26.623192,relu,0.10837128227976552,25,0.07583980416937636,2,True,standard,0.0008114391959258081,COMPLETE
106,155.8723602294922,2026-01-03 01:54:01.833345,2026-01-03 01:54:28.099522,0 days 00:00:26.266177,relu,0.12360329878222096,22,0.05135241410267098,2,True,standard,0.0005218680978983469,COMPLETE
107,198.56088358561198,2026-01-03 01:54:28.107525,2026-01-03 01:54:53.414211,0 days 00:00:25.306686,relu,0.11465823869592424,14,0.0009656023799259898,2,False,standard,0.0006792113995015785,COMPLETE
108,146.20791625976562,2026-01-03 01:54:53.423211,2026-01-03 01:55:19.699934,0 days 00:00:26.276723,relu,0.12557617645725658,26,0.09778788251105039,2,True,standard,0.00046356874486492514,COMPLETE
109,171.7730255126953,2026-01-03 01:55:19.707934,2026-01-03 01:55:46.027633,0 days 00:00:26.319699,silu,0.12366599705709853,23,0.03562789889976401,2,True,standard,0.00046891497292246857,COMPLETE
110,174.14138793945312,2026-01-03 01:55:46.034633,2026-01-03 01:56:12.342847,0 days 00:00:26.308214,relu,0.31936015884339236,21,0.09669551565471952,2,True,standard,0.0007887705123093096,COMPLETE
111,148.93191528320312,2026-01-03 01:56:12.350848,2026-01-03 01:56:38.687533,0 days 00:00:26.336685,relu,0.10719132898810566,26,0.06101260018268865,2,True,standard,0.0006271457318523841,COMPLETE
112,146.40174865722656,2026-01-03 01:56:38.696533,2026-01-03 01:57:05.432229,0 days 00:00:26.735696,relu,0.13048547371442615,27,0.07088441797377497,2,True,standard,0.0005484978105941173,COMPLETE
113,144.67282104492188,2026-01-03 01:57:05.441230,2026-01-03 01:57:31.964425,0 days 00:00:26.523195,relu,0.13343301624928192,27,0.07787230895555712,2,True,standard,0.00041616982904225193,COMPLETE
114,147.16030883789062,2026-01-03 01:57:31.972428,2026-01-03 01:57:58.449117,0 days 00:00:26.476689,relu,0.13369678783163652,27,0.0995550136091766,2,True,standard,0.00039298460979679864,COMPLETE
115,171.6757049560547,2026-01-03 01:57:58.457117,2026-01-03 01:58:25.199876,0 days 00:00:26.742759,relu,0.35162927929717663,31,0.08155171770276579,2,True,standard,3.474213536724981e-05,COMPLETE
116,159.1620330810547,2026-01-03 01:58:25.208876,2026-01-03 01:58:51.694084,0 days 00:00:26.485208,relu,0.1344162496680456,27,0.050521657671383335,2,True,standard,0.00046410613371734773,COMPLETE
117,172.41195678710938,2026-01-03 01:58:51.703086,2026-01-03 01:59:18.186267,0 days 00:00:26.483181,relu,0.15501027452857938,29,0.07118401022572847,2,True,none,0.0007220075268427451,COMPLETE
118,158.768310546875,2026-01-03 01:59:18.194272,2026-01-03 01:59:46.435978,0 days 00:00:28.241706,gelu,0.10045473590839897,26,0.07972623076477578,2,True,standard,0.0008377830915487633,COMPLETE
119,143.11279296875,2026-01-03 01:59:46.443978,2026-01-03 02:00:13.016198,0 days 00:00:26.572220,relu,0.11554830403509157,29,0.08869486415332409,2,True,standard,0.0006479560891912552,COMPLETE
120,150.34420776367188,2026-01-03 02:00:13.026200,2026-01-03 02:00:39.505379,0 days 00:00:26.479179,relu,0.12729327342379357,29,0.09945302237137524,2,True,robust,0.0004968668068677127,COMPLETE
121,147.12747192382812,2026-01-03 02:00:39.513381,2026-01-03 02:01:05.830570,0 days 00:00:26.317189,relu,0.1152268820037692,24,0.08592546528609989,2,True,standard,0.0006504451932188499,COMPLETE
