number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
113,164.20419311523438,2026-01-03 18:52:26.082506,2026-01-03 18:52:33.869260,0 days 00:00:07.786754,relu,0.12248266362730933,23,0.025480216144801855,2,True,standard,0.0004981819609643161,COMPLETE
114,169.35623168945312,2026-01-03 18:52:33.878770,2026-01-03 18:52:41.516067,0 days 00:00:07.637297,relu,0.12778769179011254,23,0.02557898872182021,2,True,standard,0.0002588549304454908,COMPLETE
115,162.62220764160156,2026-01-03 18:52:41.526581,2026-01-03 18:52:49.072256,0 days 00:00:07.545675,relu,0.1484694125672808,18,0.036756398636685415,2,True,standard,0.0004892154591210392,COMPLETE
116,159.63037109375,2026-01-03 18:52:49.080276,2026-01-03 18:52:56.701934,0 days 00:00:07.621658,relu,0.14863068083531697,21,0.051965699481566874,2,True,standard,0.0005943802403437747,COMPLETE
117,175.3761749267578,2026-01-03 18:52:56.710451,2026-01-03 18:53:04.247931,0 days 00:00:07.537480,relu,0.14630086393153105,18,0.05283089712494731,2,True,none,0.0004838345993943842,COMPLETE
118,160.56727600097656,2026-01-03 18:53:04.256447,2026-01-03 18:53:11.907090,0 days 00:00:07.650643,relu,0.13709225302548808,21,0.06328156182528008,2,True,standard,0.0005946163743819491,COMPLETE
119,169.29498291015625,2026-01-03 18:53:11.915108,2026-01-03 18:53:19.583467,0 days 00:00:07.668359,silu,0.15251523699758135,21,0.06678027247594832,2,True,standard,0.0007674418312544827,COMPLETE
120,155.2450714111328,2026-01-03 18:53:19.591480,2026-01-03 18:53:27.276745,0 days 00:00:07.685265,relu,0.10099240605727058,21,0.05603448189466483,2,True,standard,0.0006648951347001248,COMPLETE
121,152.9052734375,2026-01-03 18:53:27.285260,2026-01-03 18:53:34.982200,0 days 00:00:07.696940,relu,0.10273691497393798,21,0.061145112398007996,2,True,standard,0.0006277413998620861,COMPLETE
122,150.92642211914062,2026-01-03 18:53:34.990721,2026-01-03 18:53:42.664821,0 days 00:00:07.674100,relu,0.1008971089544145,22,0.06023880237492607,2,True,standard,0.0009955274424436643,COMPLETE
123,151.91844177246094,2026-01-03 18:53:42.673330,2026-01-03 18:53:50.301144,0 days 00:00:07.627814,relu,0.10004800548390153,22,0.06201258979506439,2,True,standard,0.0006987967854960865,COMPLETE
124,166.35897827148438,2026-01-03 18:53:50.310664,2026-01-03 18:53:58.416844,0 days 00:00:08.106180,mish,0.13626574780339115,25,0.056315790978332926,2,True,standard,0.0006876963289534761,COMPLETE
125,154.57730102539062,2026-01-03 18:53:58.426362,2026-01-03 18:54:06.086893,0 days 00:00:07.660531,relu,0.12317337554851315,22,0.060532164139037566,2,True,standard,0.0009294455379945664,COMPLETE
126,145.7736053466797,2026-01-03 18:54:06.096406,2026-01-03 18:54:13.786208,0 days 00:00:07.689802,relu,0.10673956838154441,24,0.06655703017947512,2,True,standard,0.0009013627664792134,COMPLETE
127,198.60952012803818,2026-01-03 18:54:13.794718,2026-01-03 18:54:21.247881,0 days 00:00:07.453163,relu,0.10631808480165153,22,0.000976504351981805,2,False,standard,0.0009271686250047975,COMPLETE
128,149.74847412109375,2026-01-03 18:54:21.257394,2026-01-03 18:54:29.059106,0 days 00:00:07.801712,relu,0.12369103871261738,26,0.07080460131978862,2,True,standard,0.0006416734329155501,COMPLETE
129,151.28993225097656,2026-01-03 18:54:29.067627,2026-01-03 18:54:36.880753,0 days 00:00:07.813126,relu,0.12144344546520514,26,0.06889633020919124,2,True,standard,0.0006257955001588569,COMPLETE
