number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_gaussian_noise,params_hidden_size,params_lr,params_scale_target,params_scaler,params_weight_decay,state
56,159.905517578125,2026-01-20 17:09:27.927531,2026-01-20 17:09:30.072199,0 days 00:00:02.144668,relu,0.12509809155909482,0.00011970094799957504,28,0.09073769181585795,True,standard,0.00031590464424302806,COMPLETE
57,166.42117309570312,2026-01-20 17:09:30.076167,2026-01-20 17:09:32.252064,0 days 00:00:02.175897,relu,0.12371737735391106,0.00035249849848229686,24,0.09658739427638463,True,standard,0.0002446999413941296,COMPLETE
58,167.0351104736328,2026-01-20 17:09:32.256164,2026-01-20 17:09:34.454333,0 days 00:00:02.198169,relu,0.15872247870471604,0.006584102514194647,19,0.08349821582499929,True,standard,0.00032627101320334347,COMPLETE
59,210.82983032226565,2026-01-20 17:09:34.458977,2026-01-20 17:09:36.646022,0 days 00:00:02.187045,mish,0.12961903277502324,0.003492276046449436,28,0.0009354553550605097,False,standard,0.00038225221923136545,COMPLETE
60,193.57388305664062,2026-01-20 17:09:36.650259,2026-01-20 17:09:38.905479,0 days 00:00:02.255220,relu,0.38798023043394686,0.008170778520903617,50,0.0015727999726130582,True,standard,0.00023581491324251543,COMPLETE
61,161.83358764648438,2026-01-20 17:09:38.909885,2026-01-20 17:09:41.028911,0 days 00:00:02.119026,relu,0.13220138569714326,0.0010310479211663127,24,0.0917255950273522,True,standard,0.00023029888357201092,COMPLETE
62,160.60403442382812,2026-01-20 17:09:41.033585,2026-01-20 17:09:43.345118,0 days 00:00:02.311533,relu,0.12190054402991884,0.0032004261465369676,24,0.09536525986387666,True,standard,0.0005876828172913868,COMPLETE
63,168.12698364257812,2026-01-20 17:09:43.349869,2026-01-20 17:09:45.554595,0 days 00:00:02.204726,relu,0.1401745725080291,0.0034530658243199924,24,0.049357408202518854,True,standard,0.0006935143986655271,COMPLETE
64,173.99085998535156,2026-01-20 17:09:45.558623,2026-01-20 17:09:47.749727,0 days 00:00:02.191104,relu,0.15285357653499607,0.00025381347526734325,20,0.03768412650417981,True,standard,0.0005736988302855481,COMPLETE
65,166.4351348876953,2026-01-20 17:09:47.753561,2026-01-20 17:09:50.216818,0 days 00:00:02.463257,relu,0.12151376449519466,0.007923725784502095,25,0.04813514618111013,True,standard,0.0008703963961713911,COMPLETE
66,162.591796875,2026-01-20 17:09:50.221107,2026-01-20 17:09:52.432442,0 days 00:00:02.211335,relu,0.1741272788828105,0.0025117465239649114,23,0.07927328234158337,True,standard,0.00020142641868009414,COMPLETE
67,203.8158721923828,2026-01-20 17:09:52.436505,2026-01-20 17:09:54.756278,0 days 00:00:02.319773,silu,0.17884260955473763,0.0025560081843212217,22,0.00031712951884237594,True,standard,0.00020099951507078847,COMPLETE
68,168.21456909179688,2026-01-20 17:09:54.760106,2026-01-20 17:09:56.965645,0 days 00:00:02.205539,relu,0.15702907628688414,0.008973734890469614,16,0.0999408761475592,True,standard,0.0002984540096568192,COMPLETE
69,168.31393432617188,2026-01-20 17:09:56.969879,2026-01-20 17:09:59.247118,0 days 00:00:02.277239,relu,0.13721446420115255,0.014479875036745209,27,0.053306481627595555,True,standard,0.00010201499781157909,COMPLETE
70,176.8997344970703,2026-01-20 17:09:59.251415,2026-01-20 17:10:01.507134,0 days 00:00:02.255719,mish,0.16735306223165655,0.003265926022493618,17,0.03656692702452509,True,standard,0.0005021459914230116,COMPLETE
71,165.55467224121094,2026-01-20 17:10:01.511814,2026-01-20 17:10:03.746158,0 days 00:00:02.234344,relu,0.11475113761424079,0.007263243200759807,23,0.07895383400407388,True,standard,1.0192150431056716e-06,COMPLETE
72,166.1509246826172,2026-01-20 17:10:03.751314,2026-01-20 17:10:05.863090,0 days 00:00:02.111776,relu,0.20916320382218112,0.005573365015723957,30,0.07618297830581426,True,standard,0.00020410783924598594,COMPLETE
73,173.8473358154297,2026-01-20 17:10:05.867531,2026-01-20 17:10:07.986834,0 days 00:00:02.119303,relu,0.42013749968783287,0.0006304070038911629,25,0.08288186786246078,True,standard,0.0003400181810986064,COMPLETE
74,172.9064483642578,2026-01-20 17:10:07.991735,2026-01-20 17:10:10.098597,0 days 00:00:02.106862,relu,0.1491669617589399,0.09956757269427194,21,0.05450213279066816,True,standard,0.0006914824939590556,COMPLETE
75,160.43154907226562,2026-01-20 17:10:10.104884,2026-01-20 17:10:12.361057,0 days 00:00:02.256173,relu,0.1367408080478566,0.009956940788267091,27,0.07865849472230019,True,standard,0.00039826659050840567,COMPLETE
76,206.9266955566406,2026-01-20 17:10:12.365773,2026-01-20 17:10:14.450397,0 days 00:00:02.084624,relu,0.1306037143674687,0.08427379452140984,27,0.0009708221997406974,False,standard,0.00026914059639251276,COMPLETE
77,174.1664581298828,2026-01-20 17:10:14.454761,2026-01-20 17:10:16.637541,0 days 00:00:02.182780,relu,0.14122142222448344,0.010367890752399137,23,0.027586380592439858,True,standard,0.00019307691946630234,COMPLETE
78,175.3610382080078,2026-01-20 17:10:16.641318,2026-01-20 17:10:18.804881,0 days 00:00:02.163563,relu,0.1767077331798118,0.015057368989441886,25,0.019210595141672383,True,standard,0.00042241111941955045,COMPLETE
79,173.0734405517578,2026-01-20 17:10:18.809258,2026-01-20 17:10:20.990376,0 days 00:00:02.181118,gelu,0.11647209329522759,0.01027038029456437,29,0.0558689239859472,True,standard,0.0005900764296236406,COMPLETE
80,182.0582733154297,2026-01-20 17:10:20.995554,2026-01-20 17:10:23.154438,0 days 00:00:02.158884,relu,0.15467880007478868,0.0031864611892345467,27,0.011136239378795291,True,none,9.016133514893918e-05,COMPLETE
81,166.61630249023438,2026-01-20 17:10:23.158733,2026-01-20 17:10:25.316929,0 days 00:00:02.158196,relu,0.13590961744549832,0.0059050883142084,22,0.07075762341227813,True,standard,0.000372976750988407,COMPLETE
82,158.03775024414062,2026-01-20 17:10:25.321352,2026-01-20 17:10:27.681360,0 days 00:00:02.360008,relu,0.11267693017286937,0.005237544039136889,57,0.08143549130187508,True,standard,0.00017267076397765432,COMPLETE
83,161.68319702148438,2026-01-20 17:10:27.685884,2026-01-20 17:10:29.849232,0 days 00:00:02.163348,relu,0.11805162296655178,0.013756586918394714,24,0.08810162416006542,True,standard,0.00017304588755091051,COMPLETE
84,163.8307647705078,2026-01-20 17:10:29.853208,2026-01-20 17:10:32.065572,0 days 00:00:02.212364,relu,0.10992935562905698,9.137238694735127e-05,60,0.044475318194387256,True,standard,0.00015315281999905828,COMPLETE
