number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler_post_pca,params_weight_decay,state
116,,2026-01-02 14:21:49.395652,2026-01-02 14:22:30.551320,0 days 00:00:41.155668,mish,0.21744813255295853,47,0.08572427810176982,False,minmax,0.0004348675773177272,FAIL
117,,2026-01-02 14:22:30.559836,2026-01-02 14:23:11.812130,0 days 00:00:41.252294,mish,0.21063116300136325,48,0.09845996907120552,False,minmax,0.0004930220340527209,FAIL
118,,2026-01-02 14:23:11.818944,2026-01-02 14:23:48.935193,0 days 00:00:37.116249,mish,0.20949710644290193,14,0.09545570948253933,False,minmax,0.00040969610280512013,FAIL
119,,2026-01-02 14:23:48.941099,2026-01-02 14:24:26.094382,0 days 00:00:37.153283,mish,0.2059189148574139,14,0.0847282042835312,False,minmax,0.00039983418928604187,FAIL
120,,2026-01-02 14:24:26.100862,2026-01-02 14:25:07.606034,0 days 00:00:41.505172,mish,0.21155128754717167,49,0.09716054026349803,False,minmax,0.000441447729345832,FAIL
121,,2026-01-02 14:25:07.611922,2026-01-02 14:25:44.896663,0 days 00:00:37.284741,mish,0.2122986548037451,14,0.09251003437765055,False,minmax,0.0003694632906403619,FAIL
122,,2026-01-02 14:25:44.904979,2026-01-02 14:26:26.789246,0 days 00:00:41.884267,mish,0.22247693676555763,47,0.09394285488227355,False,minmax,0.00044670734784435723,FAIL
123,,2026-01-02 14:26:26.796229,2026-01-02 14:27:08.454881,0 days 00:00:41.658652,mish,0.21668840568637268,48,0.0998538276329141,False,minmax,0.0005104448615446389,FAIL
124,,2026-01-02 14:27:08.461014,2026-01-02 14:27:50.482559,0 days 00:00:42.021545,mish,0.21181567613923763,48,0.08632948253714258,False,minmax,0.00047378404962433946,FAIL
125,,2026-01-02 14:27:50.489866,2026-01-02 14:28:28.016748,0 days 00:00:37.526882,mish,0.21243221415306782,14,0.09783774140612392,False,minmax,0.00042959040075888223,FAIL
126,,2026-01-02 14:28:28.023137,2026-01-02 14:29:09.804188,0 days 00:00:41.781051,mish,0.21795546173873992,48,0.09436622437775057,False,minmax,0.0003635104115672706,FAIL
127,,2026-01-02 14:29:09.810160,2026-01-02 14:29:47.512504,0 days 00:00:37.702344,mish,0.1955141113750738,14,0.09901486721504271,False,minmax,0.00045146145055203205,FAIL
128,,2026-01-02 14:29:47.517853,2026-01-02 14:30:25.189020,0 days 00:00:37.671167,mish,0.21165648228869377,14,0.08482543221902906,False,minmax,0.00042663326082073523,FAIL
129,,2026-01-02 14:30:25.196019,2026-01-02 14:31:07.481232,0 days 00:00:42.285213,mish,0.22358506408777457,49,0.09451346196119723,False,minmax,0.0004939647010703175,FAIL
130,,2026-01-02 14:31:07.488099,2026-01-02 14:31:45.026425,0 days 00:00:37.538326,mish,0.21486659750807202,14,0.09831574831571091,False,minmax,0.0004384347043514136,FAIL
131,,2026-01-02 14:31:45.032629,2026-01-02 14:32:22.839741,0 days 00:00:37.807112,mish,0.21401096685670273,14,0.0988341950571448,False,minmax,0.00042910358931177507,FAIL
132,,2026-01-02 14:32:22.847456,2026-01-02 14:33:00.453023,0 days 00:00:37.605567,mish,0.2115608322750066,14,0.09714508135606356,False,minmax,0.00044401613966681835,FAIL
